Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2957555;Altenkunstadt;Altenkunstadt;Al'tenkunshtadt,Altenkunshtat,a er teng kun si ta te,altnkanstad,arutenkunshutatto,Алтенкунштат,Альтенкунштадт,Ալթենքունշթաթ,אלטנקונשטאדט,التنکانستاد,アルテンクンシュタット,阿尔滕昆斯塔特;P;PPLA4;DE;Germany;;02;094;09478;09478111;5608;;289;Europe/Berlin;2011-04-25;Germany;50.12504, 11.2503
2959548;Adelebsen;Adelebsen;Aalessen,Adelebsen,Adelebzen,Adelevessen [a. 1234],Alessen,Ethelleveshusen [a. 990],a de lai bu sen,aderepuzen,adlbsn,Аделебзен,Аделебсен,ادلبسن,アーデレプゼン,阿德莱布森;P;PPLA4;DE;Germany;;06;00;03159;03159001;6541;187;185;Europe/Berlin;2023-03-06;Germany;51.58272, 9.75461
2903180;Höchheim;Hochheim;Gekhgajm,Hyoxhaym,Khekhkhajm,Khjokhkhajm,he xia yi mu,Гехгайм,Хеххајм,Хёххайм,Հյոխհայմ,赫夏伊姆;P;PPLA4;DE;Germany;;02;096;09673;09673134;1295;;312;Europe/Berlin;2011-04-25;Germany;50.36667, 10.45
2919877;Glindenberg;Glindenberg;Glindenberg;P;PPL;DE;Germany;;14;00;15083;15083565;1347;;46;Europe/Berlin;2015-09-05;Germany;52.23857, 11.68361
2938918;Darlingerode;Darlingerode;Dalliero,Darlingerode,Дарлингероде;P;PPL;DE;Germany;;14;00;15085;15085190;2321;;266;Europe/Berlin;2015-09-05;Germany;51.84712, 10.73097
2952406;Barsinghausen;Barsinghausen;Barsinghausen,Barzingkhauzen,Basche,Baschehusen,Berkingehusen [a. 1193],ba er xin ge hao sen,barzynghhawzn,Барзингхаузен,Барзінгхаузен,بارزينغهاوزن,بارزینگ‌هاوزن,巴尔辛格豪森;P;PPLA4;DE;Germany;;06;00;03241;03241002;14200;142;182;Europe/Berlin;2018-10-02;Germany;52.3, 9.45
3207690;Bruttig-Fankel;Bruttig-Fankel;Brutig-Fankel,Bruttig-Fankel',bu lu di ge-fan ke er,Брутиг-Фанкел,Бруттиг-Фанкель,布鲁蒂格-凡克尔;P;PPLA4;DE;Germany;;08;00;07135;07135017;1208;;96;Europe/Berlin;2011-04-25;Germany;50.13333, 7.23333
2929600;Erkrath;Erkrath;Ehrkrat,Erkrat,Erkrath,ai er ke la te,arkrat,Еркрат,Эркрат,إركرات,ارکرات,埃尔克拉特;P;PPL;DE;Germany;;07;051;05158;05158004;47815;;56;Europe/Berlin;2015-09-04;Germany;51.22235, 6.90831
2845433;Röllbach;Rollbach;Rel'bakh,Relbakh,Rjol'bakh,Ryolbax,rerubahha,Релбах,Рельбах,Рёльбах,Ռյոլբախ,レルバッハ;P;PPLA4;DE;Germany;;02;096;09676;09676151;1719;;218;Europe/Berlin;2011-04-25;Germany;49.77306, 9.24611
2849698;Rechtmehring;Rechtmehring;Rekhtmering,Rextmering,lei xi te mei ling,rshtmryng,Рехтмеринг,Рехтмерінг,Ռեխտմերինգ,رشتمرینگ,雷希特梅灵;P;PPLA4;DE;Germany;;02;091;09183;09183139;1772;;490;Europe/Berlin;2023-02-16;Germany;48.12478, 12.16063
